additional_info,category,rank,score,source,title,url
Type: TV Series | Episodes: 28,"Action, Adventure, Shounen",1,9.72,AniDB,Sousou no Frieren,https://anidb.net/anime/17617
Type: TV Series | Episodes: 64,"Action, Adventure, Shounen",2,9.54,AniDB,Hagane no Renkinjutsushi (2009),https://anidb.net/anime/6107
Type: TV Series | Episodes: 51,"Action, Adventure, Shounen",3,9.46,AniDB,Gintama`,https://anidb.net/anime/8126
Type: TV Series | Episodes: 148,"Action, Adventure, Shounen",4,9.20,AniDB,Hunter x Hunter (2011),https://anidb.net/anime/8550
Type: TV Series | Episodes: 10,"Action, Adventure, Shounen",5,9.14,AniDB,Shingeki no Kyojin Season 3 (2019),https://anidb.net/anime/14444
Type: OVA | Episodes: 26,"Action, Adventure, Shounen",6,8.94,AniDB,Uchuu Senkan Yamato 2199,https://anidb.net/anime/8787
Type: TV Series | Episodes: 27,"Action, Adventure, Shounen",7,8.74,AniDB,Tengen Toppa Gurren Lagann,https://anidb.net/anime/4575
Type: TV Series | Episodes: 16,"Action, Adventure, Shounen",8,8.52,AniDB,Shingeki no Kyojin: The Final Season,https://anidb.net/anime/14977
Type: TV Series | Episodes: 12,"Action, Adventure, Shounen",9,8.42,AniDB,Dan Da Dan,https://anidb.net/anime/18290
Type: TV Series | Episodes: 11,"Action, Adventure, Shounen",10,8.35,AniDB,Kimetsu no Yaiba: Yuukaku Hen,https://anidb.net/anime/16054
Type: TV Series | Episodes: TBC,"Action, Adventure, Shounen",11,8.33,AniDB,One Piece,https://anidb.net/anime/69
Type: TV Series | Episodes: 12,"Action, Adventure, Shounen",12,8.33,AniDB,Shingeki no Kyojin Season 3,https://anidb.net/anime/13241
Type: TV Series | Episodes: 51,"Action, Adventure, Shounen",13,8.29,AniDB,Hagane no Renkinjutsushi,https://anidb.net/anime/979
Type: TV Series | Episodes: 25,"Action, Adventure, Shounen",14,8.26,AniDB,Shingeki no Kyojin,https://anidb.net/anime/9541
Type: OVA | Episodes: 3,"Action, Adventure, Shounen",15,8.26,AniDB,Tsubasa Tokyo Revelations,https://anidb.net/anime/5301
Type: TV Series | Episodes: 62,"Action, Adventure, Shounen",16,8.22,AniDB,Hunter x Hunter (1999),https://anidb.net/anime/132
Type: TV Series | Episodes: 24,"Action, Adventure, Shounen",17,8.22,AniDB,JoJo no Kimyou na Bouken: Stardust Crusaders (2015),https://anidb.net/anime/10835
Type: OVA | Episodes: 14,"Action, Adventure, Shounen",18,8.21,AniDB,Hunter x Hunter: Greed Island Final,https://anidb.net/anime/1427
Type: OVA | Episodes: 8,"Action, Adventure, Shounen",19,8.18,AniDB,Hunter x Hunter: Original Video Animation,https://anidb.net/anime/173
Type: Movie | Episodes: 1,"Action, Adventure, Shounen",20,8.13,AniDB,Meitantei Conan: Shikkoku no Chaser,https://anidb.net/anime/6245
Type: OVA | Episodes: 110,Romance,1,9.73,AniDB,Ginga Eiyuu Densetsu,https://anidb.net/anime/584
Type: TV Series | Episodes: 28,Romance,2,9.72,AniDB,Sousou no Frieren,https://anidb.net/anime/17617
Type: TV Series | Episodes: 47,Romance,3,9.64,AniDB,Ashita no Joe 2,https://anidb.net/anime/1458
Type: TV Series | Episodes: 24,Romance,4,9.49,AniDB,Kusuriya no Hitorigoto,https://anidb.net/anime/17870
Type: TV Series | Episodes: 24,Romance,5,9.47,AniDB,Steins;Gate,https://anidb.net/anime/7729
Type: Movie | Episodes: 1,Romance,6,9.39,AniDB,Suzumiya Haruhi no Shoushitsu,https://anidb.net/anime/7221
Type: TV Special | Episodes: 2,Romance,7,9.27,AniDB,Owarimonogatari (2017),https://anidb.net/anime/13033
Type: TV Series | Episodes: 13,Romance,8,9.24,AniDB,Aria the Origination,https://anidb.net/anime/5424
Type: TV Series | Episodes: 22,Romance,9,9.24,AniDB,Clannad: After Story,https://anidb.net/anime/5841
Type: TV Series | Episodes: 13,Romance,10,9.22,AniDB,Fruits Basket the Final,https://anidb.net/anime/15738
Type: TV Series | Episodes: 11,Romance,11,9.15,AniDB,Usagi Drop,https://anidb.net/anime/8211
Type: Movie | Episodes: 1,Romance,12,9.14,AniDB,Eiga Koe no Katachi,https://anidb.net/anime/10937
Type: TV Series | Episodes: 11,Romance,13,9.13,AniDB,Ping Pong the Animation,https://anidb.net/anime/10400
Type: OVA | Episodes: 4,Romance,14,9.13,AniDB,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku Hen,https://anidb.net/anime/73
Type: TV Series | Episodes: 50,Romance,15,9.12,AniDB,Cross Game,https://anidb.net/anime/6424
Type: Movie | Episodes: 1,Romance,16,9.10,AniDB,Kono Sekai no Katasumi ni,https://anidb.net/anime/9376
Type: Movie | Episodes: 1,Romance,17,9.09,AniDB,Kono Sekai no (Sara ni Ikutsumo no) Katasumi ni,https://anidb.net/anime/14233
Type: TV Series | Episodes: 13,Romance,18,9.09,AniDB,Shouwa Genroku Rakugo Shinjuu (2016),https://anidb.net/anime/10960
Type: Movie | Episodes: 1,Romance,19,9.06,AniDB,Kimi no Na wa.,https://anidb.net/anime/11829
Type: TV Series | Episodes: 26,Romance,20,9.03,AniDB,Monogatari Series: Second Season,https://anidb.net/anime/9183
Type: TV Series | Episodes: 51,Ecchi,1,9.46,AniDB,Gintama`,https://anidb.net/anime/8126
Type: Movie | Episodes: 1,Ecchi,2,9.39,AniDB,Suzumiya Haruhi no Shoushitsu,https://anidb.net/anime/7221
Type: TV Special | Episodes: 2,Ecchi,3,9.27,AniDB,Owarimonogatari (2017),https://anidb.net/anime/13033
Type: TV Series | Episodes: 148,Ecchi,4,9.20,AniDB,Hunter x Hunter (2011),https://anidb.net/anime/8550
Type: Movie | Episodes: 1,Ecchi,5,9.06,AniDB,Kimi no Na wa.,https://anidb.net/anime/11829
Type: TV Series | Episodes: 26,Ecchi,6,9.03,AniDB,Monogatari Series: Second Season,https://anidb.net/anime/9183
Type: TV Series | Episodes: 13,Ecchi,7,9.00,AniDB,Made in Abyss,https://anidb.net/anime/12681
