Title,Sources,Source Count,Details
gintama,"animeplanet, myanimelist, anidb",3,myanimelist:Rank5(9.05); myanimelist:Rank9(9.02); myanimelist:Rank13(8.98); myanimelist:Rank17(8.93); myanimelist:Rank5(9.05); myanimelist:Rank9(9.02); myanimelist:Rank13(8.98); myanimelist:Rank17(8.93); myanimelist:Rank5(9.05); myanimelist:Rank9(9.02); myanimelist:Rank13(8.98); myanimelist:Rank17(8.93); myanimelist:Rank5(9.05); myanimelist:Rank9(9.02); myanimelist:Rank13(8.98); myanimelist:Rank17(8.93); myanimelist:Rank5(9.05); myanimelist:Rank9(9.02); myanimelist:Rank13(8.98); myanimelist:Rank17(8.93); anidb:Rank3(9.46); anidb:Rank1(9.46); anidb:Rank20(8.63); anidb:Rank6(9.46); animeplanet:Rank8(4.4); animeplanet:Rank10(4.4); animeplanet:Rank13(4.4)
hunter x hunter 2011,"animeplanet, myanimelist, anidb",3,myanimelist:Rank8(9.03); myanimelist:Rank8(9.03); myanimelist:Rank8(9.03); myanimelist:Rank8(9.03); myanimelist:Rank8(9.03); anidb:Rank4(9.20); anidb:Rank4(9.20); anidb:Rank15(9.20); animeplanet:Rank10(4.5)
clannad after story,"animeplanet, myanimelist, anidb",3,myanimelist:Rank16(8.93); myanimelist:Rank16(8.93); myanimelist:Rank16(8.93); myanimelist:Rank16(8.93); myanimelist:Rank16(8.93); anidb:Rank9(9.24); anidb:Rank14(9.24); animeplanet:Rank7(4.4)
sousou no frieren,"myanimelist, anidb",2,myanimelist:Rank1(9.30); myanimelist:Rank1(9.30); myanimelist:Rank1(9.30); myanimelist:Rank1(9.30); myanimelist:Rank1(9.30); anidb:Rank1(9.72); anidb:Rank2(9.72); anidb:Rank1(9.72)
fullmetal alchemist brotherhood,"animeplanet, myanimelist",2,myanimelist:Rank2(9.10); myanimelist:Rank2(9.10); myanimelist:Rank2(9.10); myanimelist:Rank2(9.10); myanimelist:Rank2(9.10); animeplanet:Rank1(4.6)
steinsgate,"myanimelist, anidb",2,myanimelist:Rank3(9.07); myanimelist:Rank3(9.07); myanimelist:Rank3(9.07); myanimelist:Rank3(9.07); myanimelist:Rank3(9.07); anidb:Rank5(9.47); anidb:Rank5(9.47)
gintama the final,"myanimelist, anidb",2,myanimelist:Rank6(9.04); myanimelist:Rank6(9.04); myanimelist:Rank6(9.04); myanimelist:Rank6(9.04); myanimelist:Rank6(9.04); anidb:Rank10(9.38)
one piece fan letter,"animeplanet, myanimelist",2,myanimelist:Rank7(9.04); myanimelist:Rank7(9.04); myanimelist:Rank7(9.04); myanimelist:Rank7(9.04); myanimelist:Rank7(9.04); animeplanet:Rank18(4.5); animeplanet:Rank1(4.5)
gintama enchousen,"animeplanet, myanimelist",2,myanimelist:Rank10(9.02); myanimelist:Rank10(9.02); myanimelist:Rank10(9.02); myanimelist:Rank10(9.02); myanimelist:Rank10(9.02); animeplanet:Rank5(4.4)
ginga eiyuu densetsu,"myanimelist, anidb",2,myanimelist:Rank11(9.01); myanimelist:Rank11(9.01); myanimelist:Rank11(9.01); myanimelist:Rank11(9.01); myanimelist:Rank11(9.01); anidb:Rank1(9.73)
fruits basket the final,"myanimelist, anidb",2,myanimelist:Rank15(8.95); myanimelist:Rank15(8.95); myanimelist:Rank15(8.95); myanimelist:Rank15(8.95); myanimelist:Rank15(8.95); anidb:Rank10(9.22)
code geass hangyaku no lelouch r2,"myanimelist, anidb",2,myanimelist:Rank19(8.91); myanimelist:Rank19(8.91); myanimelist:Rank19(8.91); myanimelist:Rank19(8.91); myanimelist:Rank19(8.91); anidb:Rank8(8.99)
monogatari series second season,"animeplanet, anidb",2,anidb:Rank20(9.03); anidb:Rank6(9.03); animeplanet:Rank16(4.3); animeplanet:Rank2(4.3)
