category,rank,title,score,url,additional_info,source
"Action, Adventure, Shounen",1,Frieren: Beyond Journey's End,N/A,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,TV (28 eps) | 2023 - 2024,AnimePlanet
"Action, Adventure, Shounen",2,The Apothecary Diaries,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries,TV (24 eps) | 2023 - 2024,AnimePlanet
"Action, Adventure, Shounen",3,The Apothecary Diaries 2nd Season,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season,TV (23+ eps) | 2025 - ?,AnimePlanet
"Action, Adventure, Shounen",4,Fullmetal Alchemist: Brotherhood,N/A,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,TV (64 eps) | 2009 - 2010,AnimePlanet
"Action, Adventure, Shounen",5,Solo Leveling Season 2: Arise from the Shadow,N/A,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow,TV (13 eps) | 2025,AnimePlanet
"Action, Adventure, Shounen",6,Heaven Official's Blessing 2nd Season,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,Web (12 eps) | 2023 - 2024,AnimePlanet
"Action, Adventure, Shounen",7,The Master of Diabolism 3,N/A,https://www.anime-planet.com/anime/the-master-of-diabolism-3,Web (12 eps) | 2021,AnimePlanet
"Action, Adventure, Shounen",8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,N/A,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,TV (11 eps) | 2021 - 2022,AnimePlanet
"Action, Adventure, Shounen",9,ALIEN STAGE,N/A,https://www.anime-planet.com/anime/alien-stage,Web (11 eps) | 2022,AnimePlanet
"Action, Adventure, Shounen",10,Fruits Basket the Final Season,N/A,https://www.anime-planet.com/anime/fruits-basket-the-final-season,TV (13 eps) | 2021,AnimePlanet
"Action, Adventure, Shounen",11,Attack on Titan 3rd Season: Part II,N/A,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,TV (10 eps) | 2019,AnimePlanet
"Action, Adventure, Shounen",12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,N/A,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,TV (10 eps) | 2016,AnimePlanet
"Action, Adventure, Shounen",13,Bleach: Thousand-Year Blood War,N/A,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,TV (13 eps) | 2022,AnimePlanet
"Action, Adventure, Shounen",14,A Silent Voice,N/A,https://www.anime-planet.com/anime/a-silent-voice,Movie (1 ep) | 2016,AnimePlanet
"Action, Adventure, Shounen",15,Haikyuu!! Second Season,N/A,https://www.anime-planet.com/anime/haikyuu-second-season,TV (25 eps) | 2015 - 2016,AnimePlanet
"Action, Adventure, Shounen",16,your name.,N/A,https://www.anime-planet.com/anime/your-name,Movie (1 ep) | 2016,AnimePlanet
"Action, Adventure, Shounen",17,Jujutsu Kaisen,N/A,https://www.anime-planet.com/anime/jujutsu-kaisen,TV (24 eps) | 2020 - 2021,AnimePlanet
