additional_info,category,rank,score,source,title,url
TV (28 eps) | 2023 - 2024,"Action, Adventure, Shounen",1,N/A,AnimePlanet,Frieren: Beyond Journey's End,https://www.anime-planet.com/anime/frieren-beyond-journeys-end
TV (24 eps) | 2023 - 2024,"Action, Adventure, Shounen",2,N/A,AnimePlanet,The Apothecary Diaries,https://www.anime-planet.com/anime/the-apothecary-diaries
TV (23+ eps) | 2025 - ?,"Action, Adventure, Shounen",3,N/A,AnimePlanet,The Apothecary Diaries 2nd Season,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season
TV (64 eps) | 2009 - 2010,"Action, Adventure, Shounen",4,N/A,AnimePlanet,Fullmetal Alchemist: Brotherhood,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood
TV (13 eps) | 2025,"Action, Adventure, Shounen",5,N/A,AnimePlanet,Solo Leveling Season 2: Arise from the Shadow,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow
Web (12 eps) | 2023 - 2024,"Action, Adventure, Shounen",6,N/A,AnimePlanet,Heaven Official's Blessing 2nd Season,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season
Web (12 eps) | 2021,"Action, Adventure, Shounen",7,N/A,AnimePlanet,The Master of Diabolism 3,https://www.anime-planet.com/anime/the-master-of-diabolism-3
TV (11 eps) | 2021 - 2022,"Action, Adventure, Shounen",8,N/A,AnimePlanet,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc
Web (11 eps) | 2022,"Action, Adventure, Shounen",9,N/A,AnimePlanet,ALIEN STAGE,https://www.anime-planet.com/anime/alien-stage
TV (13 eps) | 2021,"Action, Adventure, Shounen",10,N/A,AnimePlanet,Fruits Basket the Final Season,https://www.anime-planet.com/anime/fruits-basket-the-final-season
TV (10 eps) | 2019,"Action, Adventure, Shounen",11,N/A,AnimePlanet,Attack on Titan 3rd Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii
TV (10 eps) | 2016,"Action, Adventure, Shounen",12,N/A,AnimePlanet,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy
TV (13 eps) | 2022,"Action, Adventure, Shounen",13,N/A,AnimePlanet,Bleach: Thousand-Year Blood War,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war
Movie (1 ep) | 2016,"Action, Adventure, Shounen",14,N/A,AnimePlanet,A Silent Voice,https://www.anime-planet.com/anime/a-silent-voice
TV (25 eps) | 2015 - 2016,"Action, Adventure, Shounen",15,N/A,AnimePlanet,Haikyuu!! Second Season,https://www.anime-planet.com/anime/haikyuu-second-season
Movie (1 ep) | 2016,"Action, Adventure, Shounen",16,N/A,AnimePlanet,your name.,https://www.anime-planet.com/anime/your-name
TV (24 eps) | 2020 - 2021,"Action, Adventure, Shounen",17,N/A,AnimePlanet,Jujutsu Kaisen,https://www.anime-planet.com/anime/jujutsu-kaisen
TV Special (2 eps) | 2023,"Action, Adventure, Shounen",18,N/A,AnimePlanet,Attack on Titan The Final Season: The Final Chapters,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters
