Rank;Title;Score;Source;Category;URL;Additional_Info
1;Gintama°;9.05;myanimelist;comedy;https://myanimelist.net/anime/28977/Gintama°;TV, 51 episodes
2;Gintama: The Final;9.04;myanimelist;comedy;https://myanimelist.net/anime/39486/Gintama__The_Final;Movie, 1 episodes
3;Gintama': Enchousen;9.02;myanimelist;comedy;https://myanimelist.net/anime/15417/Gintama__Enchousen;TV, 13 episodes
4;Gintama';9.02;myanimelist;comedy;https://myanimelist.net/anime/9969/Gintama;TV, 51 episodes
5;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;comedy;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;TV, 13 episodes
6;Gintama.;8.98;myanimelist;comedy;https://myanimelist.net/anime/34096/Gintama;TV, 12 episodes
7;Gintama;8.93;myanimelist;comedy;https://myanimelist.net/anime/918/Gintama;TV, 201 episodes
8;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;8.90;myanimelist;comedy;https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare;Movie, 1 episodes
9;Gintama. Shirogane no Tamashii-hen - Kouhan-sen;8.88;myanimelist;comedy;https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen;TV, 14 episodes
10;Owarimonogatari 2nd Season;8.86;myanimelist;comedy;https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season;TV Special, 7 episodes
11;Gintama. Shirogane no Tamashii-hen;8.81;myanimelist;comedy;https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen;TV, 12 episodes
12;Mob Psycho 100 II;8.78;myanimelist;comedy;https://myanimelist.net/anime/37510/Mob_Psycho_100_II;TV, 13 episodes
13;Monogatari Series: Second Season;8.76;myanimelist;comedy;https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season;TV, 26 episodes
14;Bocchi the Rock!;8.75;myanimelist;comedy;https://myanimelist.net/anime/47917/Bocchi_the_Rock;TV, 12 episodes
15;Boku no Kokoro no Yabai Yatsu 2nd Season;8.74;myanimelist;comedy;https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season;TV, 13 episodes
16;Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai;8.73;myanimelist;comedy;https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai;Movie, 1 episodes
17;Mob Psycho 100 III;8.71;myanimelist;comedy;https://myanimelist.net/anime/50172/Mob_Psycho_100_III;TV, 12 episodes
18;Great Teacher Onizuka;8.68;myanimelist;comedy;https://myanimelist.net/anime/245/Great_Teacher_Onizuka;TV, 43 episodes
19;Monogatari Series: Off & Monster Season;8.67;myanimelist;comedy;https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season;ONA, 14 episodes
20;Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;8.62;myanimelist;comedy;https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen;TV, 12 episodes
1;Sousou no Frieren;9.72;anidb;comedy;https://anidb.net/anime/17617;Type: TV Series | Episodes: 28
2;Gintama (2015);9.64;anidb;comedy;https://anidb.net/anime/10993;Type: TV Series | Episodes: 51
3;Hagane no Renkinjutsushi (2009);9.54;anidb;comedy;https://anidb.net/anime/6107;Type: TV Series | Episodes: 64
4;Kusuriya no Hitorigoto;9.49;anidb;comedy;https://anidb.net/anime/17870;Type: TV Series | Episodes: 24
5;"Steins;Gate";9.47;anidb;comedy;https://anidb.net/anime/7729;Type: TV Series | Episodes: 24
6;Gintama`;9.46;anidb;comedy;https://anidb.net/anime/8126;Type: TV Series | Episodes: 51
7;Sangatsu no Lion (2017);9.45;anidb;comedy;https://anidb.net/anime/12994;Type: TV Series | Episodes: 22
8;Gintama` (2012);9.42;anidb;comedy;https://anidb.net/anime/9427;Type: TV Series | Episodes: 13
9;Suzumiya Haruhi no Shoushitsu;9.39;anidb;comedy;https://anidb.net/anime/7221;Type: Movie | Episodes: 1
10;Gintama: The Final;9.38;anidb;comedy;https://anidb.net/anime/14719;Type: Movie | Episodes: 1
11;Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare;9.37;anidb;comedy;https://anidb.net/anime/9384;Type: Movie | Episodes: 1
12;Owarimonogatari (2017);9.27;anidb;comedy;https://anidb.net/anime/13033;Type: TV Special | Episodes: 2
13;Aria the Origination;9.24;anidb;comedy;https://anidb.net/anime/5424;Type: TV Series | Episodes: 13
14;Clannad: After Story;9.24;anidb;comedy;https://anidb.net/anime/5841;Type: TV Series | Episodes: 22
15;Hunter x Hunter (2011);9.20;anidb;comedy;https://anidb.net/anime/8550;Type: TV Series | Episodes: 148
16;Usagi Drop;9.15;anidb;comedy;https://anidb.net/anime/8211;Type: TV Series | Episodes: 11
17;Shingeki no Kyojin Season 3 (2019);9.14;anidb;comedy;https://anidb.net/anime/14444;Type: TV Series | Episodes: 10
18;Cross Game;9.12;anidb;comedy;https://anidb.net/anime/6424;Type: TV Series | Episodes: 50
19;Shouwa Genroku Rakugo Shinjuu (2016);9.09;anidb;comedy;https://anidb.net/anime/10960;Type: TV Series | Episodes: 13
20;Kimi no Na wa.;9.06;anidb;comedy;https://anidb.net/anime/11829;Type: Movie | Episodes: 1
1;One Piece: Fan Letter;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/one-piece-fan-letter;TV Special (1 ep) | 2024
2;Kaguya-sama: Love is War - Ultra Romantic;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/kaguya-sama-love-is-war-ultra-romantic;TV (13 eps) | 2022
3;Gintama: The Very Final;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-the-very-final;Movie (1 ep) | 2021
4;Demon Slayer: Kimetsu no Yaiba;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba;TV (26 eps) | 2019
5;Gintama': Enchousen;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-enchousen;TV (13 eps) | 2012 - 2013
6;Gintama Kanketsu-hen: Yorozuya yo Eien Nare;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-kanketsu-hen-yorozuya-yo-eien-nare;Movie (1 ep) | 2013
7;Mob Psycho 100 II;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/mob-psycho-100-ii;TV (13 eps) | 2019
8;Gintama°;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-2015;TV (51 eps) | 2015 - 2016
9;Gintama: Shirogane no Tamashii-hen 2;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen-2;TV (14 eps) | 2018
10;Gintama.;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-2017;TV (12 eps) | 2017
11;Gintama: Shirogane no Tamashii-hen;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen;TV (12 eps) | 2018
12;SPY x FAMILY;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/spy-x-family;TV (12 eps) | 2022
13;Gintama';4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-2011;TV (51 eps) | 2011 - 2012
14;One-Punch Man;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/one-punch-man;TV (12 eps) | 2015
15;Fruits Basket 2nd Season;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/fruits-basket-2nd-season;TV (25 eps) | 2020
16;Bungo Stray Dogs 5th Season;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/bungo-stray-dogs-5th-season;TV (11 eps) | 2023
17;The Dangers in My Heart 2nd Season;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/the-dangers-in-my-heart-2nd-season;TV (13 eps) | 2024
18;That Time I Got Reincarnated as a Slime;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime;TV (24 eps) | 2018 - 2019
19;Assassination Classroom 2nd Season;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/assassination-classroom-2nd-season;TV (25 eps) | 2016
20;Bungo Stray Dogs 4th Season;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/bungo-stray-dogs-4th-season;TV (13 eps) | 2023
