Rank;Title;Score;Source;Category;URL;Additional_Info
1;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;romance;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;TV, 13 episodes
2;Fruits Basket: The Final;8.95;myanimelist;romance;https://myanimelist.net/anime/42938/Fruits_Basket__The_Final;TV, 13 episodes
3;Clannad: After Story;8.93;myanimelist;romance;https://myanimelist.net/anime/4181/Clannad__After_Story;TV, 24 episodes
4;Monogatari Series: Second Season;8.76;myanimelist;romance;https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season;TV, 26 episodes
5;Boku no Kokoro no Yabai Yatsu 2nd Season;8.74;myanimelist;romance;https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season;TV, 13 episodes
6;Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai;8.73;myanimelist;romance;https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai;Movie, 1 episodes
7;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;8.70;myanimelist;romance;https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen;OVA, 4 episodes
8;Howl no Ugoku Shiro;8.67;myanimelist;romance;https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro;Movie, 1 episodes
9;Shigatsu wa Kimi no Uso;8.64;myanimelist;romance;https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso;TV, 22 episodes
10;Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;8.62;myanimelist;romance;https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen;TV, 12 episodes
11;Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;8.59;myanimelist;romance;https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai;Movie, 1 episodes
12;Nana;8.56;myanimelist;romance;https://myanimelist.net/anime/877/Nana;TV, 47 episodes
13;Kimi no Suizou wo Tabetai;8.55;myanimelist;romance;https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai;Movie, 1 episodes
14;Yojouhan Shinwa Taikei;8.55;myanimelist;romance;https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei;TV, 11 episodes
15;Fruits Basket 2nd Season;8.53;myanimelist;romance;https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season;TV, 25 episodes
16;Bakuman. 3rd Season;8.52;myanimelist;romance;https://myanimelist.net/anime/12365/Bakuman_3rd_Season;TV, 25 episodes
17;Kara no Kyoukai Movie 5: Mujun Rasen;8.51;myanimelist;romance;https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen;Movie, 1 episodes
18;Kimi ni Todoke 3rd Season;8.47;myanimelist;romance;https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season;ONA, 5 episodes
19;Karakai Jouzu no Takagi-san Movie;8.43;myanimelist;romance;https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie;Movie, 1 episodes
20;Saenai Heroine no Sodatekata Fine;8.41;myanimelist;romance;https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine;Movie, 1 episodes
1;Ginga Eiyuu Densetsu;9.73;anidb;romance;https://anidb.net/anime/584;Type: OVA | Episodes: 110
2;Sousou no Frieren;9.72;anidb;romance;https://anidb.net/anime/17617;Type: TV Series | Episodes: 28
