additional_info,category,rank,score,source,title,url
"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members","Action, Adventure, Shounen",1,9.30,MyAnimeList,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members","Action, Adventure, Shounen",2,9.10,MyAnimeList,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members","Action, Adventure, Shounen",3,9.07,MyAnimeList,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members","Action, Adventure, Shounen",4,9.05,MyAnimeList,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members","Action, Adventure, Shounen",5,9.05,MyAnimeList,Gintama°,https://myanimelist.net/anime/28977/Gintama°
"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members","Action, Adventure, Shounen",6,9.04,MyAnimeList,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members","Action, Adventure, Shounen",7,9.04,MyAnimeList,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members","Action, Adventure, Shounen",8,9.03,MyAnimeList,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members","Action, Adventure, Shounen",9,9.02,MyAnimeList,Gintama',https://myanimelist.net/anime/9969/Gintama
"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members","Action, Adventure, Shounen",10,9.02,MyAnimeList,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members","Action, Adventure, Shounen",11,9.01,MyAnimeList,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members","Action, Adventure, Shounen",12,8.99,MyAnimeList,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members","Action, Adventure, Shounen",13,8.98,MyAnimeList,Gintama.,https://myanimelist.net/anime/34096/Gintama
"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members","Action, Adventure, Shounen",14,8.98,MyAnimeList,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members","Action, Adventure, Shounen",15,8.95,MyAnimeList,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members","Action, Adventure, Shounen",16,8.93,MyAnimeList,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members","Action, Adventure, Shounen",17,8.93,MyAnimeList,Gintama,https://myanimelist.net/anime/918/Gintama
"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members","Action, Adventure, Shounen",18,8.93,MyAnimeList,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members","Action, Adventure, Shounen",19,8.91,MyAnimeList,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members","Action, Adventure, Shounen",20,8.90,MyAnimeList,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members",Romance,1,9.30,MyAnimeList,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members",Romance,2,9.10,MyAnimeList,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members",Romance,3,9.07,MyAnimeList,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members",Romance,4,9.05,MyAnimeList,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members",Romance,5,9.05,MyAnimeList,Gintama°,https://myanimelist.net/anime/28977/Gintama°
"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members",Romance,6,9.04,MyAnimeList,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members",Romance,7,9.04,MyAnimeList,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members",Romance,8,9.03,MyAnimeList,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members",Romance,9,9.02,MyAnimeList,Gintama',https://myanimelist.net/anime/9969/Gintama
"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members",Romance,10,9.02,MyAnimeList,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members",Romance,11,9.01,MyAnimeList,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members",Romance,12,8.99,MyAnimeList,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members",Romance,13,8.98,MyAnimeList,Gintama.,https://myanimelist.net/anime/34096/Gintama
"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members",Romance,14,8.98,MyAnimeList,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members",Romance,15,8.95,MyAnimeList,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members",Romance,16,8.93,MyAnimeList,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members",Romance,17,8.93,MyAnimeList,Gintama,https://myanimelist.net/anime/918/Gintama
"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members",Romance,18,8.93,MyAnimeList,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members",Romance,19,8.91,MyAnimeList,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members",Romance,20,8.90,MyAnimeList,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members","Ecchi, Erotica",1,9.30,MyAnimeList,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members","Ecchi, Erotica",2,9.10,MyAnimeList,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members","Ecchi, Erotica",3,9.07,MyAnimeList,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
